NR,FTIME,MTIME,STIME,MAXTIME,CHANGE,ELEMENTS,ALL,UNIQUE,FIGURE,COLORS,FEATURES,VAR,SHINT,EHINT,FEEDB,WAIT,EXP,LAT,ANS,ACC
0,2,1.5,4,4,0,9,1,1,-1,-1,-2,ICO,0.3,9,1,0,training,1.3171560764312744,left,1
1,2,1.5,4,4,0,9,1,1,-1,-1,-2,FRA,1.2,9,1,0,training,1.0837287902832031,left,1
2,2,1.5,4,4,0,6,1,1,-1,-1,-2,ICO,0.3,9,0,0,experiment,0.9502789974212646,left,1
3,2,1.5,4,4,0,6,1,1,-1,-1,-2,ROB,1.8,9,0,0,experiment,1.1599957942962646,left,1
4,2,1.5,4,4,0,6,1,1,-1,-1,-2,FRA,1.2,9,0,0,experiment,0.7612709999084473,left,1
5,2,1.5,4,4,0,6,1,1,0,1,1,ICO,0.3,9,1,0,training,0.8835549354553223,left,1
6,2,1.5,4,4,0,6,1,1,0,1,1,FRA,1.2,9,1,0,training,0.5967459678649902,left,1
7,2,1.5,4,4,0,6,1,1,0,1,1,ROB,1.8,9,1,0,training,0.9809880256652832,left,1
8,2,1.5,4,4,0,6,1,1,0,1,1,ICO,0.3,9,0,0,experiment,1.2168998718261719,left,1
9,2,1.5,4,4,0,6,1,1,0,1,1,FRA,1.2,9,0,0,experiment,0.6168208122253418,right,0
10,2,1.5,4,4,0,6,1,1,0,1,1,ROB,1.8,9,0,0,experiment,0.600275993347168,left,1
11,2,1.5,4,4,0,9,1,1,1,0,1,FRA,1.2,9,1,0,training,0.6673178672790527,left,1
12,2,1.5,4,4,0,9,1,1,1,0,1,ROB,1.8,9,1,0,training,0.7042350769042969,left,1
13,2,1.5,4,4,0,9,1,1,1,0,1,ICO,0.3,9,1,0,training,0.6159100532531738,left,1
14,2,1.5,4,4,0,6,1,1,1,0,1,FRA,1.2,9,0,0,experiment,0.7294101715087891,left,1
15,2,1.5,4,4,0,6,1,1,1,0,1,ROB,1.8,9,0,0,experiment,0.6334500312805176,left,1
16,2,1.5,4,4,0,6,1,1,1,0,1,ICO,0.3,9,0,0,experiment,0.5800189971923828,left,1
